! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
   -0.00343320596 -8.55129322e-05  0.000273135681               0 00000
      -8.01512328               0               0               0 02301
      -104.944287               0               0               0 10401
       34.7713353               0               0               0 01401
      -122.288125               0               0               0 00501
      -77.5453423               0               0               0 40011
      -64.1314449               0               0               0 31011
      -13.9857505               0               0               0 22011
      -2.33654082               0               0               0 13011
     -0.340596491               0               0               0 04011
       29.3394194               0               0               0 30111
       48.1149331               0               0               0 21111
       9.50174924               0               0               0 12111
       1.38837541               0               0               0 03111
       52.4792515               0               0               0 20211
       3.80058742               0               0               0 11211
      0.234555136               0               0               0 02211
       39.5808085               0               0               0 10311
       15.2563542               0               0               0 01311
      -7.28080327               0               0               0 00411
       12.7034651               0               0               0 30021
       7.96187516               0               0               0 21021
       1.60982507               0               0               0 12021
      0.257565675               0               0               0 03021
       5.93574507               0               0               0 20121
      0.679348453               0               0               0 11121
     0.0757550151               0               0               0 02121
       7.36294581               0               0               0 10221
       2.30080135               0               0               0 01221
     -0.118383007               0               0               0 00321
      0.835395726               0               0               0 20031
      0.101082424               0               0               0 11031
     0.0113826515               0               0               0 02031
      0.967539242               0               0               0 10131
      0.283940573               0               0               0 01131
     0.0704094684               0               0               0 00231
      0.102736083               0               0               0 10041
     0.0316791817               0               0               0 01041
     0.0177406989               0               0               0 00141
    0.00318778677               0               0               0 00051
      -597.497346               0               0               0 40002
      -102.721749               0               0               0 31002
      -15.3681107               0               0               0 22002
      -2.17208316               0               0               0 13002
     -0.274609264               0               0               0 04002
       106.837983               0               0               0 30102
       12.3766158               0               0               0 21102
        1.4653033               0               0               0 12102
      0.185393293               0               0               0 03102
       11.8887131               0               0               0 20202
      -2.55669988               0               0               0 11202
     -0.863809017               0               0               0 02202
       18.8047014               0               0               0 10302
        2.4966758               0               0               0 01302
      -3.93088497               0               0               0 00402
       14.4258145               0               0               0 30012
       1.52658163               0               0               0 21012
      0.163028817               0               0               0 12012
     0.0171689509               0               0               0 03012
       15.0743734               0               0               0 20112
       1.60706583               0               0               0 11112
      0.166465023               0               0               0 02112
       2.28803297               0               0               0 10212
      0.265413449               0               0               0 01212
        3.2668393               0               0               0 00312
       1.96621152               0               0               0 20022
      0.211929662               0               0               0 11022
      0.022229702               0               0               0 02022
      0.192176728               0               0               0 10122
     0.0208429359               0               0               0 01122
      0.409197722               0               0               0 00222
     0.0128130316               0               0               0 10032
    0.00134309873               0               0               0 01032
     0.0442654916               0               0               0 00132
    0.00474276817               0               0               0 00042
      -1.44694805               0               0               0 30003
     -0.301551821               0               0               0 21003
    -0.0979405958               0               0               0 12003
    -0.0218874633               0               0               0 03003
      0.213731277               0               0               0 20103
   -0.00424871757               0               0               0 11103
   -0.00263981236               0               0               0 02103
     -0.390336182               0               0               0 10203
    -0.0220563449               0               0               0 01203
     -0.025206107               0               0               0 00303
     0.0116208798               0               0               0 20013
  -0.000861751979               0               0               0 11013
  -0.000368034008               0               0               0 02013
    -0.0305595883               0               0               0 10113
   0.000792820773               0               0               0 01113
   -0.00103581312               0               0               0 00213
   -0.00500745668               0               0               0 10023
  -3.62264901e-05               0               0               0 01023
  -0.000100846774               0               0               0 00123
   1.08549858e-05               0               0               0 00033
    -0.0317665296               0               0               0 20004
   -0.00868692894               0               0               0 11004
   -0.00130336633               0               0               0 02004
   -0.00485930059               0               0               0 10104
  -0.000181322677               0               0               0 01104
    -0.0225313015               0               0               0 00204
  -0.000259911565               0               0               0 10014
  -8.65988929e-06               0               0               0 01014
   0.000126433262               0               0               0 00114
     9.083549e-05               0               0               0 00024
  -0.000376405317               0               0               0 10005
   -4.9526213e-05               0               0               0 01005
   5.05435025e-05               0               0               0 00105
   3.11879063e-06               0               0               0 00015
   2.32698271e-06               0               0               0 00006
 ---------------------------------------------------------------------
